dataset,number of cities,algorithm,weight,runtime,memory use,deviation
berlin52,52,twiceAroundTheTreeTSP,10114,3.2299513816833496,200.66015625,34.102360116679925
berlin52,52,christofidesTSP,8591,2.8393096923828125,200.7109375,13.90877751259613
kroA100,100,twiceAroundTheTreeTSP,27210,1.8624188899993896,202.55078125,27.85452495066253
kroA100,100,christofidesTSP,25549,2.2785096168518066,202.5546875,20.04980734893337
pa561,561,twiceAroundTheTreeTSP,3963,2.150981903076172,261.61328125,43.43105320304018
pa561,561,christofidesTSP,3318,38.66905975341797,261.60546875,20.08686210640608
pcb442,442,twiceAroundTheTreeTSP,69223,1.570451259613037,246.58203125,36.324786324786324
pcb442,442,christofidesTSP,58013,13.32786250114441,246.8984375,14.248296506361022
tsp225,225,twiceAroundTheTreeTSP,5161,1.9034335613250732,222.8203125,31.792645556690502
tsp225,225,christofidesTSP,4467,2.3238062858581543,222.0703125,14.070480081716036
